,CensusTract,State,County,Urban,Pop2010,OHU2010,GroupQuartersFlag,NUMGQTRS,PCTGQTRS,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,HUNVFlag,LowIncomeTracts,PovertyRate,MedianFamilyIncome,LA1and10,LAhalfand10,LA1and20,LATracts_half,LATracts1,LATracts10,LATracts20,LATractsVehicle_20,LAPOP1_10,LAPOP05_10,LAPOP1_20,LALOWI1_10,LALOWI05_10,LALOWI1_20,lapophalf,lapophalfshare,lalowihalf,lalowihalfshare,lakidshalf,lakidshalfshare,laseniorshalf,laseniorshalfshare,lawhitehalf,lawhitehalfshare,lablackhalf,lablackhalfshare,laasianhalf,laasianhalfshare,lanhopihalf,lanhopihalfshare,laaianhalf,laaianhalfshare,laomultirhalf,laomultirhalfshare,lahisphalf,lahisphalfshare,lahunvhalf,lahunvhalfshare,lasnaphalf,lasnaphalfshare,lapop1,lapop1share,lalowi1,lalowi1share,lakids1,lakids1share,laseniors1,laseniors1share,lawhite1,lawhite1share,lablack1,lablack1share,laasian1,laasian1share,lanhopi1,lanhopi1share,laaian1,laaian1share,laomultir1,laomultir1share,lahisp1,lahisp1share,lahunv1,lahunv1share,lasnap1,lasnap1share,lapop10,lapop10share,lalowi10,lalowi10share,lakids10,lakids10share,laseniors10,laseniors10share,lawhite10,lawhite10share,lablack10,lablack10share,laasian10,laasian10share,lanhopi10,lanhopi10share,laaian10,laaian10share,laomultir10,laomultir10share,lahisp10,lahisp10share,lahunv10,lahunv10share,lasnap10,lasnap10share,lapop20,lapop20share,lalowi20,lalowi20share,lakids20,lakids20share,laseniors20,laseniors20share,lawhite20,lawhite20share,lablack20,lablack20share,laasian20,laasian20share,lanhopi20,lanhopi20share,laaian20,laaian20share,laomultir20,laomultir20share,lahisp20,lahisp20share,lahunv20,lahunv20share,lasnap20,lasnap20share,TractLOWI,TractKids,TractSeniors,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractHUNV,TractSNAP,OID_TRACT_20,GEOID_TRACT_20,NAMELSAD_TRACT_20,AREALAND_TRACT_20,AREAWATER_TRACT_20,MTFCC_TRACT_20,FUNCSTAT_TRACT_20,OID_TRACT_10,GEOID_TRACT_10,NAMELSAD_TRACT_10,AREALAND_TRACT_10,AREAWATER_TRACT_10,MTFCC_TRACT_10,FUNCSTAT_TRACT_10,AREALAND_PART,AREAWATER_PART
10,1400000US13011970200,Georgia,Banks County,0,5017,1852,0,0.0,0.0,0,0,0,1,1,1,13.7,46959.0,0,0,0,0,0,0,0,1,326.0,326.0,,160.0,160.0,,5017.0,100.0,2154.0,42.94,1283.0,25.57,651.0,12.98,4728.0,94.24,128.0,2.55,30.0,0.6,0.0,0.0,22.0,0.44,109.0,2.17,134.0,2.67,122.0,6.57,260.0,14.05,5017.0,100.0,2154.0,42.94,1283.0,25.57,651.0,12.98,4728.0,94.24,128.0,2.55,30.0,0.6,0.0,0.0,22.0,0.44,109.0,2.17,134.0,2.67,122.0,6.57,260.0,14.05,326.0,6.5,160.0,3.2,75.0,1.49,49.0,0.97,314.0,6.27,4.0,0.09,0.0,0.0,0.0,0.0,1.0,0.02,6.0,0.12,3.0,0.06,7.0,0.38,17.0,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,2107.0,1283.0,651.0,4728.0,128.0,30.0,0.0,22.0,109.0,134.0,112.0,242.0,20790346201298.0,13011970200,Census Tract 9702,193750568.0,774820.0,G5020,S,20740346201298.0,13011970200,Census Tract 9702,193750568.0,774820.0,G5020,S,193750568.0,774820.0
11,1400000US13013180203,Georgia,Barrow County,1,3187,1127,0,4.0,0.13,1,1,1,0,0,1,30.7,40809.0,1,1,1,1,1,0,0,0,764.0,2322.0,764.0,550.0,1511.0,550.0,2322.0,72.86,1511.0,47.42,709.0,22.25,182.0,5.72,1263.0,39.63,743.0,23.33,59.0,1.86,0.0,0.0,15.0,0.46,241.0,7.58,296.0,9.3,87.0,7.74,237.0,21.0,764.0,23.97,550.0,17.27,242.0,7.59,50.0,1.56,504.0,15.81,115.0,3.61,35.0,1.09,0.0,0.0,8.0,0.24,102.0,3.21,131.0,4.11,33.0,2.9,70.0,6.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2123.0,947.0,271.0,1788.0,1012.0,64.0,0.0,17.0,306.0,369.0,108.0,348.0,207903262889828.0,13013180203,Census Tract 1802.03,5653203.0,15023.0,G5020,S,207403262889828.0,13013180203,Census Tract 1802.03,5653203.0,15023.0,G5020,S,5653203.0,15023.0
12,1400000US13013180206,Georgia,Barrow County,1,2887,1090,0,0.0,0.0,0,0,0,0,0,0,16.2,67647.0,1,1,1,1,1,0,0,0,718.0,1832.0,718.0,204.0,644.0,204.0,1832.0,63.47,644.0,22.3,524.0,18.16,203.0,7.03,1561.0,54.08,142.0,4.93,56.0,1.93,0.0,0.0,5.0,0.17,68.0,2.37,92.0,3.19,47.0,4.33,146.0,13.38,718.0,24.87,204.0,7.08,216.0,7.49,60.0,2.08,587.0,20.35,66.0,2.29,35.0,1.21,0.0,0.0,0.0,0.0,30.0,1.04,42.0,1.46,23.0,2.07,53.0,4.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1121.0,777.0,346.0,2433.0,240.0,72.0,0.0,7.0,135.0,157.0,58.0,207.0,207903854830543.0,13013180206,Census Tract 1802.06,6993749.0,40117.0,G5020,S,207403854830543.0,13013180206,Census Tract 1802.06,6993749.0,40117.0,G5020,S,6993749.0,40117.0
13,1400000US13013180301,Georgia,Barrow County,1,2062,722,0,0.0,0.0,0,0,0,0,0,0,5.1,68417.0,1,1,1,1,1,0,0,0,2034.0,2062.0,2034.0,488.0,494.0,488.0,2062.0,100.0,494.0,23.97,561.0,27.21,207.0,10.04,1791.0,86.86,122.0,5.92,51.0,2.47,0.0,0.0,0.0,0.0,98.0,4.75,156.0,7.57,0.0,0.0,80.0,11.1,2034.0,98.66,488.0,23.65,555.0,26.93,204.0,9.89,1766.0,85.63,122.0,5.92,49.0,2.36,0.0,0.0,0.0,0.0,98.0,4.75,156.0,7.55,0.0,0.0,79.0,10.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,559.0,561.0,207.0,1791.0,122.0,51.0,0.0,0.0,98.0,156.0,0.0,91.0,207903262885508.0,13013180301,Census Tract 1803.01,21407030.0,224964.0,G5020,S,207403262885508.0,13013180301,Census Tract 1803.01,21407030.0,224964.0,G5020,S,21407030.0,224964.0
14,1400000US13013180302,Georgia,Barrow County,1,5749,2044,0,0.0,0.0,1,1,1,0,0,1,12.1,61298.0,1,1,1,1,1,0,0,0,4075.0,5083.0,4075.0,1240.0,1573.0,1240.0,5083.0,88.41,1573.0,27.35,1418.0,24.66,565.0,9.84,4200.0,73.06,336.0,5.84,110.0,1.92,8.0,0.14,13.0,0.22,416.0,7.24,525.0,9.13,50.0,2.46,133.0,6.52,4075.0,70.89,1240.0,21.57,1177.0,20.47,362.0,6.3,3382.0,58.83,271.0,4.72,94.0,1.63,8.0,0.14,12.0,0.21,308.0,5.35,378.0,6.58,44.0,2.13,104.0,5.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1810.0,1591.0,680.0,4722.0,391.0,122.0,8.0,13.0,493.0,630.0,55.0,152.0,207903262884950.0,13013180302,Census Tract 1803.02,29951588.0,431290.0,G5020,S,207403262884950.0,13013180302,Census Tract 1803.02,29951588.0,431290.0,G5020,S,29951588.0,431290.0
15,1400000US13013180303,Georgia,Barrow County,0,4229,1455,0,7.0,0.17,0,0,0,0,0,0,13.3,62563.0,0,0,0,0,0,0,0,0,,,,,,,4095.0,96.84,1649.0,39.0,1185.0,28.01,388.0,9.18,3498.0,82.7,208.0,4.91,166.0,3.93,8.0,0.19,17.0,0.4,199.0,4.71,307.0,7.26,16.0,1.13,245.0,16.85,3427.0,81.04,1424.0,33.67,931.0,22.01,349.0,8.25,2979.0,70.43,153.0,3.61,142.0,3.35,4.0,0.09,12.0,0.28,138.0,3.27,203.0,4.8,14.0,0.96,210.0,14.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2392.0,1226.0,405.0,3604.0,214.0,175.0,10.0,17.0,209.0,318.0,19.0,285.0,207903262892625.0,13013180303,Census Tract 1803.03,28289318.0,461265.0,G5020,S,207403262892625.0,13013180303,Census Tract 1803.03,28289318.0,461265.0,G5020,S,28289318.0,461265.0
16,1400000US13013180501,Georgia,Barrow County,1,5079,1638,0,0.0,0.0,0,0,0,0,0,0,9.1,73116.0,1,1,1,1,1,0,0,0,4024.0,4972.0,4024.0,1109.0,1370.0,1109.0,4972.0,97.89,1370.0,26.97,1522.0,29.98,272.0,5.35,3781.0,74.44,646.0,12.72,210.0,4.14,4.0,0.08,19.0,0.37,312.0,6.15,572.0,11.26,4.0,0.25,161.0,9.81,4024.0,79.23,1109.0,21.83,1224.0,24.1,228.0,4.49,3064.0,60.32,509.0,10.02,181.0,3.56,3.0,0.05,18.0,0.35,250.0,4.92,462.0,9.09,3.0,0.2,130.0,7.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1718.0,1554.0,279.0,3864.0,659.0,212.0,4.0,19.0,321.0,581.0,5.0,195.0,207903262886888.0,13013180501,Census Tract 1805.01,26708900.0,177921.0,G5020,S,207403262886888.0,13013180501,Census Tract 1805.01,26708900.0,177921.0,G5020,S,26708900.0,177921.0
17,1400000US13017960100,Georgia,Ben Hill County,0,2286,904,0,0.0,0.0,0,0,0,0,0,1,21.2,52039.0,0,0,0,0,0,0,0,0,263.0,263.0,,107.0,107.0,,2286.0,100.0,933.0,40.81,520.0,22.75,312.0,13.65,2027.0,88.67,193.0,8.44,4.0,0.17,0.0,0.0,8.0,0.35,54.0,2.36,54.0,2.36,42.0,4.62,113.0,12.5,2286.0,100.0,933.0,40.81,520.0,22.75,312.0,13.65,2027.0,88.67,193.0,8.44,4.0,0.17,0.0,0.0,8.0,0.35,54.0,2.36,54.0,2.36,42.0,4.62,113.0,12.5,263.0,11.5,107.0,4.69,41.0,1.78,62.0,2.71,218.0,9.54,37.0,1.62,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.34,10.0,0.44,5.0,0.56,14.0,1.53,,,,,,,,,,,,,,,,,,,,,,,,,,,1066.0,520.0,312.0,2027.0,193.0,4.0,0.0,8.0,54.0,54.0,48.0,130.0,2079048118261.0,13017960100,Census Tract 9601,297108635.0,4520577.0,G5020,S,2074048118261.0,13017960100,Census Tract 9601,297108635.0,4520577.0,G5020,S,297108635.0,4520577.0
18,1400000US13017960200,Georgia,Ben Hill County,0,1752,652,0,0.0,0.0,0,0,0,0,0,0,18.9,60052.0,0,0,0,0,0,0,0,0,109.0,109.0,,37.0,37.0,,1752.0,100.0,592.0,33.77,435.0,24.83,240.0,13.7,1421.0,81.11,274.0,15.64,11.0,0.63,0.0,0.0,7.0,0.4,39.0,2.23,34.0,1.94,82.0,12.6,66.0,10.12,1752.0,100.0,592.0,33.77,435.0,24.83,240.0,13.7,1421.0,81.11,274.0,15.64,11.0,0.63,0.0,0.0,7.0,0.4,39.0,2.23,34.0,1.94,82.0,12.6,66.0,10.12,109.0,6.21,37.0,2.1,23.0,1.32,21.0,1.22,105.0,6.01,3.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.84,4.0,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,492.0,435.0,240.0,1421.0,274.0,11.0,0.0,7.0,39.0,34.0,76.0,61.0,2079048118265.0,13017960200,Census Tract 9602,233144634.0,2928137.0,G5020,S,2074048118265.0,13017960200,Census Tract 9602,233144634.0,2928137.0,G5020,S,233144634.0,2928137.0
19,1400000US13017960300,Georgia,Ben Hill County,1,4002,1555,0,0.0,0.0,1,1,1,1,1,1,25.4,40863.0,1,1,1,1,1,0,0,1,2322.0,3582.0,2322.0,1066.0,1716.0,1066.0,3582.0,89.5,1716.0,42.87,1044.0,26.09,457.0,11.43,2031.0,50.76,1269.0,31.7,45.0,1.14,1.0,0.02,23.0,0.57,212.0,5.3,234.0,5.85,298.0,19.17,292.0,18.78,2322.0,58.03,1066.0,26.64,694.0,17.35,286.0,7.14,1373.0,34.32,753.0,18.82,31.0,0.77,1.0,0.02,7.0,0.18,157.0,3.91,188.0,4.69,180.0,11.55,187.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1565.0,1155.0,502.0,2196.0,1508.0,47.0,1.0,24.0,226.0,255.0,280.0,282.0,2079048118263.0,13017960300,Census Tract 9603,28973847.0,417091.0,G5020,S,2074048118263.0,13017960300,Census Tract 9603,28973847.0,417091.0,G5020,S,28973847.0,417091.0
20,1400000US13017960400,Georgia,Ben Hill County,0,3769,1393,0,68.0,1.8,0,0,0,1,1,1,44.7,28718.0,0,0,0,0,0,0,0,1,,,,,,,3482.0,92.37,2621.0,69.53,1069.0,28.36,387.0,10.27,1599.0,42.42,1490.0,39.52,11.0,0.29,1.0,0.03,5.0,0.13,376.0,9.98,455.0,12.08,244.0,17.52,395.0,28.34,2189.0,58.09,1615.0,42.86,665.0,17.65,217.0,5.76,1296.0,34.37,556.0,14.76,4.0,0.11,1.0,0.03,2.0,0.05,330.0,8.76,400.0,10.61,144.0,10.35,245.0,17.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3302.0,1154.0,409.0,1663.0,1689.0,13.0,1.0,5.0,398.0,471.0,270.0,464.0,2079048118262.0,13017960400,Census Tract 9604,11621163.0,167651.0,G5020,S,2074048118262.0,13017960400,Census Tract 9604,11621163.0,167651.0,G5020,S,11621163.0,167651.0
